Disease	MyCancerGenome Gene category	genes	Entrez gene name	Gene ID	Drug name	pubchem drug name	pubchem drug id	Other drug names	clinical trial ID	indication of drug-gene interaction	Interaction type
Ovarian cancer	BRAF	MEK	MAP2k7	5609	MEK162	MEK162	10288191	N/A	NCT01543698	Exclusion criteria: Progressive disease following prior treatment with RAF-inhibitors in combination with MEK-inhibitors. %Official title:  Study of LGX818 in Combination With MEK162 in Adult Patients With BRAF V600 - Dependent Advanced Solid Tumors	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3CA	5290	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3CB	5291	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3CG	5294	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3CD	5293	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3R1	5295	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3R2	5296	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3R3	8503	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3R4	30849	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3R5	23533	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	PI3K	PIK3R6	146850	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
Ovarian cancer	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	PLX4032	NCT01636622	Purpose: Vemurafenib is designed to block a protein (called mutated BRAF). %Inclusion criteria: Patient must have histologically or cytologically confirmed diagnosis of advanced solid tumor or lymphoma harboring a BRAF mutation	inhibitor
Ovarian cancer	BRAF	N/A	N/A	N/A	SAR260301	N/A	N/A	N/A	NCT01673737	N/A	inhibitor
Ovarian cancer	BRAF	BRAF	BRAF	673	GSK2118436	GSK2118436	44516822	N/A	NCT01738451	N/A	inhibitor
Ovarian cancer	BRAF	BRAF	BRAF	673	vemurafenib	Vemurafenib	42611257	N/A	NCT01739764	Purpose: This open-label, multicenter, non-randomized study will provide continued access to vemurafenib for eligible patients with BRAF V600 mutation-positive malignancy. %Official title: A Phase IV, PostMarketing, Open-Label, Extension (Rollover) Study of Vemurafenib in Patients With BRAF V600 Mutation-Positive Malignancies. %Inclusion criteria: BRAF V600 mutation-positive malignancy. 	inhibitor
Ovarian cancer	BRAF	N/A	N/A	N/A	Crizotinib	crenolanib 	10366136	N/A	NCT01744652	N/A	inhibitor
Ovarian cancer	BRAF	N/A	N/A	N/A	Dasatinib	Dasatinib	3062316	N/A	NCT01744652	N/A	inhibitor
Ovarian cancer	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01765543	Purpose: in patients with unresectable BRAFV600-mutation positive metastatic melanoma or other malignant tumor type that harbors a V600-activating mutation of BRAF. %Inclusion criteria: positive for the BRAFV600 mutation or other malignant tumor type that harbors a V600-activating mutation of BRAF	inhibitor
Ovarian cancer	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01767623	Purpose:  vemurafenib in patients with BRAF V600 mutation positive cancer. %Official title: Vemurafenib in BRAF V600 Mutation Positive Cancer Patients. %Inclusion criteria: confirmed BRAF V600 mutation	inhibitor
Ovarian cancer	BRAF	ERK1	MAPK3	5595	BVD-523	N/A	N/A	N/A	NCT01781429	Official title: BVD-523, an ERK 1/2 Inhibitor. 	inhibitor
Ovarian cancer	BRAF	ERK2	MAPK1	5594	BVD-523	N/A	N/A	N/A	NCT01781429	Official title: BVD-523, an ERK 1/2 Inhibitor. 	inhibitor
Ovarian cancer	BRAF	N/A	N/A	N/A	Cetuximab	N/A	N/A	N/A	NCT01787500	N/A	inhibitor
Ovarian cancer	BRAF	N/A	N/A	N/A	Irinotecan	Irinotecan	60838	N/A	NCT01787500	N/A	inhibitor
Ovarian cancer	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01787500	Purpose: Vemurafenib is designed to block BRAFV600 inside the cancer cells. %Inclusion criteria: Cancers with positive BRAF V600 mutation. %Keywords: BRAF mutant, BRAF V600 Mutant Advanced Solid Malignancies.	inhibitor
Ovarian cancer	BRAF	PARP	PARP1	142	ABT-888	Veliparib	11960529	N/A	NCT01827384	Detailed description: ABT-888 (PARP inhibitor) 	inhibitor
Ovarian cancer	BRAF	PARP	PARP2	10038	ABT-888	Veliparib	11960529	N/A	NCT01827384	Detailed description: ABT-888 (PARP inhibitor) 	inhibitor
Ovarian cancer	BRAF	mTOR	mTOR	2475	Everolimus	Everolimus	6442177	N/A	NCT01827384	Detailed description: Everolimus (mTOR inhibitor)	inhibitor
Ovarian cancer	BRAF	Wee1	Wee1	7465	MK-1775	MK 1775	24856436	N/A	NCT01827384	Detailed description: MK-1775 (Wee1 inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2k1	5604	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2k2	5605	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2K3	5606	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2K4	6416	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2K5	5607	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2k6	5608	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	BRAF	MEK	MAP2k7	5609	Trametinib	trametinib	11707110	N/A	NCT01827384	Detailed description: Trametinib DMSO (MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Abraxane	TAXOL	36314	N/A	NCT00748553	N/A	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Temsirolimus	Temsirolimus	23724530	N/A	NCT00770263	N/A	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Sirolimus	rapamycin	5284616	N/A	NCT00940381	N/A	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Irinotecan	Irinotecan	60838	N/A	NCT00980239	N/A	inhibitor
Ovarian cancer	KRAS	EGFR	EGFR	1956	Sym004	N/A	N/A	N/A	NCT01117428	Inclusion criteria: Documented disease progression during or within 6 months after cessation of anti-EGFR Ab treatment.	inhibitor
Ovarian cancer	KRAS	Akt	Akt1	207	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Ovarian cancer	KRAS	Akt	Akt2	208	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Ovarian cancer	KRAS	Akt	Akt3	10000	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Ovarian cancer	KRAS	VEGFR-1	FLT1	2321	Axitinib	Axitinib	6450551	N/A	NCT01334073	N/A	inhibitor
Ovarian cancer	KRAS	VEGFR-2	KDR	3791	Axitinib	Axitinib	6450551	N/A	NCT01334073	N/A	inhibitor
Ovarian cancer	KRAS	VEGFR-3	FLT4	2324	Axitinib	Axitinib	6450551	N/A	NCT01334073	N/A	inhibitor
Ovarian cancer	KRAS	mTOR	mTOR	2475	everolimus	Everolimus	6442177	N/A	NCT01334073	N/A	inhibitor
Ovarian cancer	KRAS	MEK	MAP2k1	5604	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	MEK	MAP2k2	5605	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	MEK	MAP2K3	5606	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	MEK	MAP2K4	6416	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	MEK	MAP2K5	5607	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	MEK	MAP2k6	5608	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	MEK	MAP2k7	5609	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
Ovarian cancer	KRAS	mTOR	mTOR	2475	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CA	5290	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CB	5291	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CG	5294	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CD	5293	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R1	5295	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R2	5296	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R3	8503	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R4	30849	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R5	23533	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R6	146850	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
Ovarian cancer	KRAS	EGFR	EGFR	1956	Panitumumab	N/A	N/A	N/A	NCT01388621	Purpose: The purpose of this trial is to estimate the therapeutic efficacy of the experimental targeted regimen including the EGFR antibody panitumumab. %Exclusion criteria: Prior anti-EGFR therapy/	inhibitor
Ovarian cancer	KRAS	mTOR	mTOR	2475	Metformin	Metformin	4091	N/A	NCT01529593	Purpose: Metformin was designed to treat patients with diabetes. It may be able to block the protein mTOR and slow the growth of tumors.	inhibitor
Ovarian cancer	KRAS	mTOR	mTOR	2475	Temsirolimus	Temsirolimus	23724530	N/A	NCT01529593	Purpose: Temsirolimus is designed to block a protein called mTOR. 	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CA	5290	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CB	5291	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CG	5294	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3CD	5293	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R1	5295	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R2	5296	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R3	8503	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R4	30849	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R5	23533	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	PI3K	PIK3R6	146850	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01571024	Exclusion criteria: Patients with history of prior treatment with a PI3K inhibitor	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	TAS-117	N/A	N/A	N/A	NCT01610479	N/A	inhibitor
Ovarian cancer	KRAS	EWS-FLI4	N/A	N/A	Mithramycin	Plicamycin	163662	N/A	NCT01610570	Purpose:  Mithramycin in Children and Adults With Refractory Extracranial Solid Tumors (Phase I) or Ewing Sarcoma and EWSFLI1 Fusion Transcript. %Inclusion criteria: Ewing sarcoma with EWS-FLI1 fusion transcript.	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Ipilimumab	N/A	N/A	N/A	NCT01611558	N/A	inhibitor
Ovarian cancer	KRAS	EGFR	EGFR	1956	necitumumab	N/A	N/A	N/A	NCT01624467	Exclusion criteria: Have received necitumumab or any other monoclonal antibody targeting the EGFR as the most recent prior treatment	inhibitor
Ovarian cancer	KRAS	elF4e	ELF4	2000	ISIS 183750	N/A	N/A	N/A	NCT01675128	Detailed description: ISIS 183750 is a second-generation antisense oligonucleotide (ASO) designed to inhibit the production of the human eukaryotic translation initiation factor 4E (eIF4E) protein. 	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Cetuximab	N/A	N/A	N/A	NCT01787500	N/A	inhibitor
Ovarian cancer	KRAS	N/A	N/A	N/A	Irinotecan	Irinotecan	60838	N/A	NCT01787500	N/A	inhibitor
Ovarian cancer	KRAS	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01787500	Purpose: Vemurafenib is designed to block BRAFV600 inside the cancer cells. %Inclusion criteria: Cancers with positive BRAF V600 mutation. %Keywords: BRAF mutant, BRAF V600 Mutant Advanced Solid Malignancies.	inhibitor
Ovarian cancer	PIK3CA	N/A	N/A	N/A	Temsirolimus	Temsirolimus	23724530	N/A	NCT00770263	N/A	inhibitor
Ovarian cancer	PIK3CA	PIK3CA	PIK3CA	5290	BYL719	BYL719	56649450	N/A	NCT01219699	Purpose: Advanced Solid Tumors With an Alteration of the PIK3CA Gene. 	inhibitor
Ovarian cancer	PIK3CA	Akt	Akt1	207	AZD5363	AZD4547	51039095	N/A	NCT01226316	Inclusion criteria: breast, ovarian, cervical, endometrial cancer, or other solid cancers, resistance to standard therapies with a PIK3CA gene mutation (Part C), AKT1 gene mutation (Part D) or a dysregulatory aberration on the PIK/AKT pathway (Part D	inhibitor
Ovarian cancer	PIK3CA	Akt	Akt2	208	AZD5363	AZD4547	51039095	N/A	NCT01226316	Inclusion criteria: breast, ovarian, cervical, endometrial cancer, or other solid cancers, resistance to standard therapies with a PIK3CA gene mutation (Part C), AKT1 gene mutation (Part D) or a dysregulatory aberration on the PIK/AKT pathway (Part D	inhibitor
Ovarian cancer	PIK3CA	Akt	Akt3	10000	AZD5363	AZD4547	51039095	N/A	NCT01226316	Inclusion criteria: breast, ovarian, cervical, endometrial cancer, or other solid cancers, resistance to standard therapies with a PIK3CA gene mutation (Part C), AKT1 gene mutation (Part D) or a dysregulatory aberration on the PIK/AKT pathway (Part D	inhibitor
Ovarian cancer	PIK3CA	Akt	Akt1	207	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Ovarian cancer	PIK3CA	Akt	Akt2	208	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Ovarian cancer	PIK3CA	Akt	Akt3	10000	MK2206	MK2206	46930998	N/A	NCT01245205	Purpose: Akt inhibitor MK2206	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2k1	5604	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2k2	5605	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2K3	5606	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2K4	6416	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2K5	5607	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2k6	5608	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	MEK	MAP2k7	5609	GSK1120212	Trametinib	11707110	N/A	NCT01248858	Purpose: MEK inhibitor GSK1120212. %Detailed description: MEK inhibitor GSK1120212.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3CA	5290	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3CB	5291	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3CG	5294	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3CD	5293	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3R1	5295	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3R2	5296	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3R3	8503	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3R4	30849	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3R5	23533	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	PI3K	PIK3R6	146850	GSK2126458	GSK2126458	25167777	N/A	NCT01248858	Purpose: PI3K inhibitor GSK2126458. %Detailed description: PI3K inhibitor GSK2126458.	inhibitor
Ovarian cancer	PIK3CA	N/A	N/A	N/A	BMS-906024	UNII-DRL23N424R	66550890	N/A	NCT01292655	N/A	inhibitor
Ovarian cancer	PIK3CA	PDGFR	PDGFRA	5156	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	PDGFR	PDGFRB	5159	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	RAF	BRAF	673	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	RAF	RAF1	5894	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	VEGFR	KDR	3791	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	VEGFR	KDR	3791	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	VEGFR	FLT4	2324	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	VEGFR-1	FLT1	2321	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	VEGFR-3	FLT4	2324	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Ovarian cancer	PIK3CA	N/A	N/A	N/A	DMUC5754A	N/A	N/A	N/A	NCT01335958	N/A	inhibitor
Ovarian cancer	PIK3CA	PARP1	PARP1	142	ABT-767	N/A	N/A	N/A	NCT01339650	Purpose: ABT-767 is a potent oral inhibitor of the enzymes poly (ADP-ribose) polymerase 1 and 2 (PARP-1 and PARP-2). %Exclusion criteria: Subject has previously received a poly (ADP-ribose) polymerase (PARP) inhibitor.	inhibitor
