Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000168575	SLC20A2	"Glvr-2, GLVR2, MLVAR, PiT-2, Ram-1"	"Solute carrier family 20 member 2"	Q08357	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000110628	SLC22A18	"BWR1A, BWSCR1A, IMPT1, ITM, ORCTL2, SLC22A1L, TSSC5"	"Solute carrier family 22 member 18"	Q96BI1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000197375	SLC22A5	"CDSP, OCTN2, SCD"	"Solute carrier family 22 member 5"	O76082	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000074621	SLC24A1	"CSNB1D, HsT17412, KIAA0702, NCKX, NCKX1, RODX"	"Solute carrier family 24 member 1"	O60721	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000140090	SLC24A4	NCKX4	"Solute carrier family 24 member 4"	Q8NFF2	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000188467	SLC24A5	"JSX, OCA6"	"Solute carrier family 24 member 5"	Q71RS6	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000100075	SLC25A1	"CTP, SLC20A3"	"Solute carrier family 25 member 1"	P53007	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000115840	SLC25A12	Aralar	"Solute carrier family 25 member 12"	O75746	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000004864	SLC25A13	"ARALAR2, CITRIN, CTLN2"	"Solute carrier family 25 member 13"	Q9UJS0	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000102743	SLC25A15	"D13S327, HHH, ORC1, ORNT1"	"Solute carrier family 25 member 15"	Q9Y619	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000125454	SLC25A19	"DNC, MCPHA, MUP1, TPC"	"Solute carrier family 25 member 19"	Q9HC21	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000178537	SLC25A20	"CAC, CACT"	"Solute carrier family 25 member 20"	O43772	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000177542	SLC25A22	"EIEE3, FLJ13044, GC1, NET44"	"Solute carrier family 25 member 22"	Q9H936	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000144741	SLC25A26		"Solute carrier family 25 member 26"	Q70HW3	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000075415	SLC25A3	PHC	"Solute carrier family 25 member 3"	Q00325	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000164933	SLC25A32	MFTC	"Solute carrier family 25 member 32"	Q9H2D1	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000144659	SLC25A38	FLJ20551	"Solute carrier family 25 member 38"	Q96DW6	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000164209	SLC25A46		"Solute carrier family 25 member 46"	Q96AG3	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000145217	SLC26A1	"EDM4, SAT-1"	"Solute carrier family 26 member 1"	Q9H2B4	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000155850	SLC26A2	"DTD, DTDST"	"Solute carrier family 26 member 2"	P50443	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000091138	SLC26A3	"CLD, DRA"	"Solute carrier family 26 member 3"	P40879	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000091137	SLC26A4	"DFNB4, PDS"	"Solute carrier family 26 member 4"	O43511	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000170615	SLC26A5	"DFNB61, PRES"	"Solute carrier family 26 member 5"	P58743	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000112053	SLC26A8		"Solute carrier family 26 member 8"	Q96RN1	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000167114	SLC27A4	"ACSVL4, FATP4"	"Solute carrier family 27 member 4"	Q6P1M0	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000198246	SLC29A3	"ENT3, FLJ11160"	"Solute carrier family 29 member 3"	Q9BZD2	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000117394	SLC2A1	"CSE, DYT18, DYT9, GLUT, GLUT1, HTLVR"	"Solute carrier family 2 member 1"	P11166	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000197496	SLC2A10	GLUT10	"Solute carrier family 2 member 10"	O95528	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000163581	SLC2A2	GLUT2	"Solute carrier family 2 member 2"	P11168	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000181856	SLC2A4	GLUT4	"Solute carrier family 2 member 4"	P14672	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000109667	SLC2A9	"Glut9, GLUTX, URATv1"	"Solute carrier family 2 member 9"	Q9NRM0	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000196660	SLC30A10	"DKFZp547M236, ZnT-10, ZNT8, ZRC1"	"Solute carrier family 30 member 10"	Q6XR72	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000158014	SLC30A2	ZNT2	"Solute carrier family 30 member 2"	Q9BRI3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000014824	SLC30A9	"C4orf1, GAC63, HUEL, ZNT9"	"Solute carrier family 30 member 9"	Q6PML9	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000169359	SLC33A1	"ACATN, AT-1, AT1, SPG42"	"Solute carrier family 33 member 1"	O00400	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000131183	SLC34A1	"NAPI-3, NPT2, NPTIIa, SLC11, SLC17A2"	"Solute carrier family 34 member 1"	Q06495	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000157765	SLC34A2	NAPI-3B	"Solute carrier family 34 member 2"	O95436	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000198569	SLC34A3	"FLJ38680, NPTIIc"	"Solute carrier family 34 member 3"	Q8N130	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000164414	SLC35A1	"CMPST, hCST"	"Solute carrier family 35 member A1"	P78382	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000102100	SLC35A2	"UGALT, UGAT, UGT, UGT1, UGT2, UGTL"	"Solute carrier family 35 member A2"	P78381	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000117620	SLC35A3		"Solute carrier family 35 member A3"	Q9Y2D2	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000181830	SLC35C1	"FLJ11320, FUCT1"	"Solute carrier family 35 member C1"	Q96A29	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000116704	SLC35D1	"KIAA0260, UGTREL7"	"Solute carrier family 35 member D1"	Q9NTN3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000186335	SLC36A2	"PAT2, TRAMD1, tramdorin"	"Solute carrier family 36 member 2"	Q495M3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000166558	SLC38A8		"Solute carrier family 38 member 8"	A6NNN8	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000165915	SLC39A13	FLJ25785	"Solute carrier family 39 member 13"	Q96H72	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000139540	SLC39A5		"Solute carrier family 39 member 5"	Q6ZMH5	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000138821	SLC39A8	BIGM103	"Solute carrier family 39 member 8"	Q9C0K1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000138079	SLC3A1	"ATR1, CSNU1, D2H, NBAT, RBAT"	"Solute carrier family 3 member 1"	Q07837	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000138449	SLC40A1	"FPN1, HFE4, IREG1, MTP1, SLC11A3"	"Solute carrier family 40 member 1"	Q9NP59	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000204385	SLC44A4	"C6orf29, CTL4, DFNA72, FLJ14491, NG22, TPPT"	"Solute carrier family 44 member 4"	Q53GD3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000162426	SLC45A1	DNB5	"Solute carrier family 45 member 1"	Q9Y2W3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000164175	SLC45A2	"AIM-1, MATP, OCA4"	"Solute carrier family 45 member 2"	Q9UMX9	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000076351	SLC46A1	"HCP1, MGC9564, PCFT"	"Solute carrier family 46 member 1"	Q96NT5	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000004939	SLC4A1	"AE1, CD233, DI, EPB3, FR, RTA1A, SW, WD, WR"	"Solute carrier family 4 member 1 (Diego blood group)"	P02730	"Blood group antigen proteins, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000088836	SLC4A11	"BTR1, CDPD1, CHED2, dJ794I6.2, FECD4, NaBC1"	"Solute carrier family 4 member 11"	Q8NBS3	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000080493	SLC4A4	"hhNMC, HNBC1, NBC1, NBC2, pNBC, SLC4A5"	"Solute carrier family 4 member 4"	Q9Y6R1	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000101276	SLC52A3	"bA371L19.1, C20orf54, hRFT2, RFVT3"	"Solute carrier family 52 member 3"	Q9NQ40	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000100170	SLC5A1	"D22S675, NAGT, SGLT1"	"Solute carrier family 5 member 1"	P13866	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000105641	SLC5A5	NIS	"Solute carrier family 5 member 5"	Q92911	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000115665	SLC5A7	"CHT1, hCHT"	"Solute carrier family 5 member 7"	Q9GZV3	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000268104	SLC6A14		"Solute carrier family 6 member 14"	Q9UN76	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000197106	SLC6A17		"Solute carrier family 6 member 17"	Q9H1V8	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000164363	SLC6A18	"FLJ31236, Xtrp2"	"Solute carrier family 6 member 18"	Q96N87	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000174358	SLC6A19		"Solute carrier family 6 member 19"	Q695T7	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000163817	SLC6A20	"XT3, Xtrp3"	"Solute carrier family 6 member 20"	Q9NP91	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000165970	SLC6A5	"GLYT2, NET1"	"Solute carrier family 6 member 5"	Q9Y345	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000196517	SLC6A9	GLYT1	"Solute carrier family 6 member 9"	P48067	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000013293	SLC7A14	"KIAA1613, PPP1R142"	"Solute carrier family 7 member 14"	Q8TBB6	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000021488	SLC7A9	CSNU3	"Solute carrier family 7 member 9"	P82251	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000090020	SLC9A1	"APNH, NHE1, PPP1R143"	"Solute carrier family 9 member A1"	P19634	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000066230	SLC9A3	NHE3	"Solute carrier family 9 member A3"	P48764	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000109062	SLC9A3R1	"EBP50, NHERF, NHERF1"	"SLC9A3 regulator 1"	O14745	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000198689	SLC9A6	"KIAA0267, NHE6"	"Solute carrier family 9 member A6"	Q92581	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000181804	SLC9A9	"FLJ35613, NHE9"	"Solute carrier family 9 member A9"	Q8IVB4	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000134538	SLCO1B1	"LST-1, OATP-C, OATP1B1, SLC21A6"	"Solute carrier organic anion transporter family member 1B1"	Q9Y6L6	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000111700	SLCO1B3	"OATP1B3, OATP8, SLC21A8"	"Solute carrier organic anion transporter family member 1B3"	Q9NPD5	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000174640	SLCO2A1	"MATR1, OATP2A1, PGT, SLC21A2"	"Solute carrier organic anion transporter family member 2A1"	Q92959	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000126233	SLURP1	"ANUP, ARS, ArsB, LY6LS, MDM"	"Secreted LY6/PLAUR domain containing 1"	P55000	"Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000163104	SMARCAD1	"DKFZP762K2015, ETL1, KIAA1122"	"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"	Q9H4L7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000166311	SMPD1	ASM	"Sphingomyelin phosphodiesterase 1"	P17405	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000145335	SNCA	"NACP, PARK1, PARK4, PD1"	"Synuclein alpha"	P37840	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000144028	SNRNP200	"ASCC3L1, BRR2, HELIC2, KIAA0788, RP33, U5-200KD"	"Small nuclear ribonucleoprotein U5 subunit 200"	O75643	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000142168	SOD1	"ALS, ALS1, IPOA"	"Superoxide dismutase 1"	P00441	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000285441	SOD2		"Superoxide dismutase 2"	P04179	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000159140	SON	"BASS1, C21orf50, DBP-5, FLJ21099, FLJ33914, KIAA1019, NREBP"	"SON DNA binding protein"	P18583	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000134243	SORT1	"Gp95, NT3"	"Sortilin 1"	Q99523	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000021574	SPAST	"ADPSP, FSP2, KIAA1083, SPG4"	Spastin	Q9UBP0	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000072195	SPEG	"APEG1, BPEG, KIAA1297, MGC12676, SPEGalpha, SPEGbeta"	"SPEG complex locus"	Q15772	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000197912	SPG7	"CAR, CMAR, SPG5C"	"SPG7, paraplegin matrix AAA peptidase subunit"	Q9UQ90	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000116096	SPR	SDR38C1	"Sepiapterin reductase"	P35270	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000090054	SPTLC1	"hLCB1, HSAN1, HSN1, LCB1, SPTI"	"Serine palmitoyltransferase long chain base subunit 1"	O15269	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000100596	SPTLC2	"hLCB2a, KIAA0526, LCB2, LCB2A"	"Serine palmitoyltransferase long chain base subunit 2"	O15270	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000128039	SRD5A3	"FLJ13352, SRD5A2L, SRD5A2L1"	"Steroid 5 alpha-reductase 3"	Q9H8P0	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000174780	SRP72		"Signal recognition particle 72"	O76094	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000149418	ST14	"HAI, MT-SP1, PRSS14, SNC19, TMPRSS14"	"Suppression of tumorigenicity 14"	Q9Y5Y6	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000126091	ST3GAL3	"MRT12, SIAT6"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	Q11203	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000115525	ST3GAL5	"SIAT9, SIATGM3S, ST3GalV"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"	Q9UNP4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000124356	STAMBP	AMSH	"STAM binding protein"	O95630	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167323	STIM1	"D11S4896E, GOK"	"Stromal interaction molecule 1"	Q13586	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000072786	STK10	"LOK, PRO2729"	"Serine/threonine kinase 10"	O94804	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000118046	STK11	"LKB1, PJS"	"Serine/threonine kinase 11"	Q15831	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000101109	STK4	"KRS2, MST1, YSK3"	"Serine/threonine kinase 4"	Q13043	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000137868	STRA6	FLJ12541	"Stimulated by retinoic acid 6"	Q9BX79	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000266173	STRADA	"LYK5, NY-BR-96, Stlk, STRAD"	"STE20-related kinase adaptor alpha"	Q7RTN6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000101846	STS	"ARSC, ARSC1"	"Steroid sulfatase"	P08842	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000134910	STT3A	"ITM1, MGC9042, STT3-A, TMC"	"STT3A, catalytic subunit of the oligosaccharyltransferase complex"	P46977	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000163527	STT3B	"FLJ90106, SIMP, STT3-B"	"STT3B, catalytic subunit of the oligosaccharyltransferase complex"	Q8TCJ2	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000103266	STUB1	"CHIP, HSPABP2, NY-CO-7, SDCCAG7, UBOX1"	"STIP1 homology and U-box containing protein 1"	Q9UNE7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000136143	SUCLA2		"Succinate-CoA ligase ADP-forming beta subunit"	Q9P2R7	"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000163541	SUCLG1		"Succinate-CoA ligase alpha subunit"	P53597	"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000175600	SUGCT	"C7orf10, DERP13, FLJ11808, ORF19"	"Succinyl-CoA:glutarate-CoA transferase"	Q9HAC7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000088002	SULT2B1	HSST2	"Sulfotransferase family 2B member 1"	O00204	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000139531	SUOX		"Sulfite oxidase"	P51687	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000159082	SYNJ1	"INPP5G, PARK20"	"Synaptojanin 1"	O43426	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000102003	SYP	MRX96	Synaptophysin	P08247	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000067715	SYT1	"P65, SVP65, SYT"	"Synaptotagmin 1"	P21579	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000169836	TACR3	NK3R	"Tachykinin receptor 3"	P29371	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000147133	TAF1	"BA2R, CCG1, CCGS, DYT3, DYT3/TAF1, KAT4, NSCL2, TAF2A, TAFII250"	"TATA-box binding protein associated factor 1"	P21675	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000177156	TALDO1		"Transaldolase 1"	P37837	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000168394	TAP1	"ABCB2, D6S114E, PSF1, RING4"	"Transporter 1, ATP binding cassette subfamily B member"	Q03518	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000204267	TAP2	"ABCB3, D6S217E, PSF2, RING11"	"Transporter 2, ATP binding cassette subfamily B member"	Q03519	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000143374	TARS2	"FLJ12528, TARSL1"	"Threonyl-tRNA synthetase 2, mitochondrial"	Q9BW92	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000198650	TAT		"Tyrosine aminotransferase"	P17735	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000136111	TBC1D4	"AS160, DKFZp779C0666, KIAA0603"	"TBC1 domain family member 4"	O60343	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000145348	TBCK	"HSPC302, MGC16169"	"TBC1 domain containing kinase"	Q8TEA7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000183735	TBK1	NAK	"TANK binding kinase 1"	Q9UHD2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000151790	TDO2	"TDO, TPH2"	"Tryptophan 2,3-dioxygenase"	P48775	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000156414	TDRD9	"C14orf75, DKFZp434N0820, FLJ36164, NET54"	"Tudor domain containing 9"	Q8NDG6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000099797	TECR	"GPSN2, MRT14, SC2, TER"	"Trans-2,3-enoyl-CoA reductase"	Q9NZ01	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000164362	TERT	"EST2, hEST2, TCS1, TP2, TRT"	"Telomerase reverse transcriptase"	O14746	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000138336	TET1	"bA119F7.1, CXXC6, KIAA1676, LCX"	"Tet methylcytosine dioxygenase 1"	Q8NFU7	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000168769	TET2	"FLJ20032, KIAA1546"	"Tet methylcytosine dioxygenase 2"	Q6N021	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000121101	TEX14	CT113	"Testis expressed 14, intercellular bridge forming factor"	Q8IWB6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000106327	TFR2	"HFE3, TFRC2"	"Transferrin receptor 2"	Q9UP52	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000072274	TFRC	"CD71, p90, TFR1"	"Transferrin receptor"	P02786	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
ENSG00000088451	TGDS	"SDR2E1, TDPGD"	"TDP-glucose 4,6-dehydratase"	O95455	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106799	TGFBR1	"ACVRLK4, ALK-5, ALK5, ESS1, MSSE, TBR-i, TBRI"	"Transforming growth factor beta receptor 1"	P36897	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000163513	TGFBR2	"MFS2, TBR-ii, TBRII"	"Transforming growth factor beta receptor 2"	P37173	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000092295	TGM1	"ICR2, LI, LI1, TGASE, TGK"	"Transglutaminase 1"	P22735	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000125780	TGM3	TGE	"Transglutaminase 3"	Q08188	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000104055	TGM5	TGX	"Transglutaminase 5"	O43548	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000166948	TGM6	"dJ734P14.3, SCA35, TGM3L, TGY"	"Transglutaminase 6"	O95932	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000166548	TK2	SCA31	"Thymidine kinase 2, mitochondrial"	O00142	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000163931	TKT		Transketolase	P29401	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000038295	TLL1		"Tolloid like 1"	O43897	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000168955	TM4SF20	"FLJ22800, TCCE518"	"Transmembrane 4 L six family member 20"	Q53R12	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
