entrez_gene_symbol	gene_long_name	category_sources	category
SST 	somatostatin 	GO	DRUG RESISTANCE
SST 	somatostatin 	GO	HORMONE ACTIVITY
SSTR1 	somatostatin receptor 1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
SSTR1 	somatostatin receptor 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SSTR2 	somatostatin receptor 2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
SSTR2 	somatostatin receptor 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SSTR3 	somatostatin receptor 3 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
SSTR3 	somatostatin receptor 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SSTR4 	somatostatin receptor 4 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
SSTR4 	somatostatin receptor 4 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SSTR5 	somatostatin receptor 5 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
SSTR5 	somatostatin receptor 5 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SSU72 	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) 	GO	PROTEIN PHOSPHATASE
ST14 	suppression of tumorigenicity 14 (colon carcinoma) 	GO, HopkinsGroom, dGene	PROTEASE
ST14 	suppression of tumorigenicity 14 (colon carcinoma) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STAB2 	stabilin 2 	GO	CELL SURFACE
STAB2 	stabilin 2 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
STAG2 	stromal antigen 2 	GO	TUMOR SUPPRESSOR
STAMBP 	STAM binding protein 	GO	NEUTRAL ZINC METALLOPEPTIDASE
STAMBP 	STAM binding protein 	GO, dGene	PROTEASE
STAMBPL1 	STAM binding protein-like 1 	GO	NEUTRAL ZINC METALLOPEPTIDASE
STAMBPL1 	STAM binding protein-like 1 	GO, dGene	PROTEASE
STAR 	steroidogenic acute regulatory protein 	GO	TRANSPORTER
STARD3 	StAR-related lipid transfer (START) domain containing 3 	GO	TRANSPORTER
STAT3 	signal transducer and activator of transcription 3 (acute-phase response factor) 	GO	DRUG RESISTANCE
STAT3 	signal transducer and activator of transcription 3 (acute-phase response factor) 	GO	NUCLEAR HORMONE RECEPTOR
STAT3 	signal transducer and activator of transcription 3 (acute-phase response factor) 	GO	TRANSCRIPTION FACTOR BINDING
STAT5A 	signal transducer and activator of transcription 5A 	GO	TUMOR SUPPRESSOR
STAT5B 	signal transducer and activator of transcription 5B 	GO	TUMOR SUPPRESSOR
STC1 	stanniocalcin 1 	GO	HORMONE ACTIVITY
STC2 	stanniocalcin 2 	GO	HORMONE ACTIVITY
STEAP1 	six transmembrane epithelial antigen of the prostate 1 	GO	TRANSPORTER
STEAP2 	STEAP family member 2, metalloreductase 	GO	TRANSPORTER
STK10 	serine/threonine kinase 10 	GO, HopkinsGroom	KINASE
STK10 	serine/threonine kinase 10 	GO, dGene	SERINE THREONINE KINASE
STK10 	serine/threonine kinase 10 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK11 	serine/threonine kinase 11 	GO	TUMOR SUPPRESSOR
STK11 	serine/threonine kinase 11 	GO, HopkinsGroom	KINASE
STK11 	serine/threonine kinase 11 	GO, dGene	SERINE THREONINE KINASE
STK11 	serine/threonine kinase 11 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK16 	serine/threonine kinase 16 	GO	KINASE
STK16 	serine/threonine kinase 16 	GO	TYROSINE KINASE
STK16 	serine/threonine kinase 16 	GO, dGene	SERINE THREONINE KINASE
STK16 	serine/threonine kinase 16 	RussLampel	DRUGGABLE GENOME
STK17A 	serine/threonine kinase 17a 	GO, HopkinsGroom	KINASE
STK17A 	serine/threonine kinase 17a 	GO, dGene	SERINE THREONINE KINASE
STK17A 	serine/threonine kinase 17a 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK17B 	serine/threonine kinase 17b 	GO, HopkinsGroom	KINASE
STK17B 	serine/threonine kinase 17b 	GO, dGene	SERINE THREONINE KINASE
STK17B 	serine/threonine kinase 17b 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK19 	serine/threonine kinase 19 	GO	KINASE
STK19 	serine/threonine kinase 19 	GO, dGene	SERINE THREONINE KINASE
STK24 	serine/threonine kinase 24 	GO, HopkinsGroom	KINASE
STK24 	serine/threonine kinase 24 	GO, dGene	SERINE THREONINE KINASE
STK24 	serine/threonine kinase 24 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK25 	serine/threonine kinase 25 	GO, HopkinsGroom	KINASE
STK25 	serine/threonine kinase 25 	GO, dGene	SERINE THREONINE KINASE
STK25 	serine/threonine kinase 25 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK3 	serine/threonine kinase 3 	GO, HopkinsGroom	KINASE
STK3 	serine/threonine kinase 3 	GO, dGene	SERINE THREONINE KINASE
STK3 	serine/threonine kinase 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK31 	serine/threonine kinase 31 	GO	KINASE
STK31 	serine/threonine kinase 31 	GO, dGene	SERINE THREONINE KINASE
STK31 	serine/threonine kinase 31 	RussLampel	DRUGGABLE GENOME
STK32A 	serine/threonine kinase 32A 	GO, HopkinsGroom	KINASE
STK32A 	serine/threonine kinase 32A 	GO, dGene	SERINE THREONINE KINASE
STK32A 	serine/threonine kinase 32A 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK32B 	serine/threonine kinase 32B 	GO, HopkinsGroom	KINASE
STK32B 	serine/threonine kinase 32B 	GO, dGene	SERINE THREONINE KINASE
STK32B 	serine/threonine kinase 32B 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK32C 	serine/threonine kinase 32C 	GO, HopkinsGroom	KINASE
STK32C 	serine/threonine kinase 32C 	GO, dGene	SERINE THREONINE KINASE
STK32C 	serine/threonine kinase 32C 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK33 	serine/threonine kinase 33 	GO, HopkinsGroom	KINASE
STK33 	serine/threonine kinase 33 	GO, dGene	SERINE THREONINE KINASE
STK33 	serine/threonine kinase 33 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK35 	serine/threonine kinase 35 	GO	KINASE
STK35 	serine/threonine kinase 35 	GO, dGene	SERINE THREONINE KINASE
STK35 	serine/threonine kinase 35 	RussLampel	DRUGGABLE GENOME
STK36 	serine/threonine kinase 36 	GO	TRANSCRIPTION FACTOR BINDING
STK36 	serine/threonine kinase 36 	GO, HopkinsGroom	KINASE
STK36 	serine/threonine kinase 36 	GO, dGene	SERINE THREONINE KINASE
STK36 	serine/threonine kinase 36 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK38 	serine/threonine kinase 38 	GO, HopkinsGroom	KINASE
STK38 	serine/threonine kinase 38 	GO, dGene	SERINE THREONINE KINASE
STK38 	serine/threonine kinase 38 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK38L 	serine/threonine kinase 38 like 	GO, HopkinsGroom	KINASE
STK38L 	serine/threonine kinase 38 like 	GO, dGene	SERINE THREONINE KINASE
STK38L 	serine/threonine kinase 38 like 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK39 	serine threonine kinase 39 	GO, HopkinsGroom	KINASE
STK39 	serine threonine kinase 39 	GO, dGene	SERINE THREONINE KINASE
STK39 	serine threonine kinase 39 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK4 	serine/threonine kinase 4 	GO	TRANSCRIPTION FACTOR BINDING
STK4 	serine/threonine kinase 4 	GO, HopkinsGroom	KINASE
STK4 	serine/threonine kinase 4 	GO, dGene	SERINE THREONINE KINASE
STK4 	serine/threonine kinase 4 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STK40 	serine/threonine kinase 40 	GO	KINASE
STK40 	serine/threonine kinase 40 	GO, dGene	SERINE THREONINE KINASE
STK40 	serine/threonine kinase 40 	RussLampel	DRUGGABLE GENOME
STON1-GTF2A1L 	STON1-GTF2A1L readthrough 	GO	TRANSCRIPTION FACTOR COMPLEX
STRA13 	stimulated by retinoic acid 13 homolog (mouse) 	GO	DNA REPAIR
STRA8 	stimulated by retinoic acid gene 8 homolog (mouse) 	GO	TUMOR SUPPRESSOR
STRADA 	STE20-related kinase adaptor alpha 	GO	KINASE
STRADA 	STE20-related kinase adaptor alpha 	GO	TUMOR SUPPRESSOR
STRADA 	STE20-related kinase adaptor alpha 	GO, dGene	SERINE THREONINE KINASE
STRADB 	STE20-related kinase adaptor beta 	GO	KINASE
STRADB 	STE20-related kinase adaptor beta 	GO	TUMOR SUPPRESSOR
STRADB 	STE20-related kinase adaptor beta 	RussLampel	DRUGGABLE GENOME
STRADB 	STE20-related kinase adaptor beta 	dGene	SERINE THREONINE KINASE
STRAP 	serine/threonine kinase receptor associated protein 	GO	KINASE
STRC 	stereocilin 	GO	CELL SURFACE
STS 	steroid sulfatase (microsomal), isozyme S 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STUB1 	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase 	GO	DNA REPAIR
STX1B 	syntaxin 1B 	GO	ION CHANNEL
STX1B 	syntaxin 1B 	GO	TRANSPORTER
STX2 	syntaxin 2 	GO	CELL SURFACE
STX4 	syntaxin 4 	GO	CELL SURFACE
STYK1 	serine/threonine/tyrosine kinase 1 	GO, HopkinsGroom	KINASE
STYK1 	serine/threonine/tyrosine kinase 1 	GO, dGene	TYROSINE KINASE
STYK1 	serine/threonine/tyrosine kinase 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STYX 	serine/threonine/tyrosine interacting protein 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
STYX 	serine/threonine/tyrosine interacting protein 	HopkinsGroom, dGene	PROTEIN PHOSPHATASE
STYXL1 	serine/threonine/tyrosine interacting-like 1 	GO, dGene	PROTEIN PHOSPHATASE
STYXL1 	serine/threonine/tyrosine interacting-like 1 	HopkinsGroom	DRUGGABLE GENOME
SUB1 	SUB1 homolog (S. cerevisiae) 	GO	TRANSCRIPTION FACTOR COMPLEX
SUCNR1 	succinate receptor 1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
SUCNR1 	succinate receptor 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SUFU 	suppressor of fused homolog (Drosophila) 	GO	TRANSCRIPTION FACTOR BINDING
SULF1 	sulfatase 1 	GO	CELL SURFACE
SULF1 	sulfatase 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SULF2 	sulfatase 2 	GO	CELL SURFACE
SULF2 	sulfatase 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SUMO1 	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae) 	GO	DNA REPAIR
SUMO1 	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae) 	GO	TRANSCRIPTION FACTOR BINDING
SUOX 	sulfite oxidase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SUPT16H 	suppressor of Ty 16 homolog (S. cerevisiae) 	GO	DNA REPAIR
SUPT16H 	suppressor of Ty 16 homolog (S. cerevisiae) 	HopkinsGroom	PROTEASE
SUPT16H 	suppressor of Ty 16 homolog (S. cerevisiae) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SUPT3H 	suppressor of Ty 3 homolog (S. cerevisiae) 	GO	HISTONE MODIFICATION
SUPT3H 	suppressor of Ty 3 homolog (S. cerevisiae) 	GO	TRANSCRIPTION FACTOR COMPLEX
SUPT7L 	suppressor of Ty 7 (S. cerevisiae)-like 	GO	HISTONE MODIFICATION
SURF1 	surfeit 1 	GO	TRANSPORTER
SUV39H2 	suppressor of variegation 3-9 homolog 2 (Drosophila) 	GO	HISTONE MODIFICATION
SUV420H1 	suppressor of variegation 4-20 homolog 1 (Drosophila) 	GO	HISTONE MODIFICATION
SUV420H2 	suppressor of variegation 4-20 homolog 2 (Drosophila) 	GO	HISTONE MODIFICATION
SUZ12 	suppressor of zeste 12 homolog (Drosophila) 	GO	HISTONE MODIFICATION
SV2A 	synaptic vesicle glycoprotein 2A 	GO	TRANSPORTER
SV2A 	synaptic vesicle glycoprotein 2A 	RussLampel	DRUGGABLE GENOME
SV2B 	synaptic vesicle glycoprotein 2B 	GO	TRANSPORTER
SV2B 	synaptic vesicle glycoprotein 2B 	RussLampel	DRUGGABLE GENOME
SV2C 	synaptic vesicle glycoprotein 2C 	GO	TRANSPORTER
SV2C 	synaptic vesicle glycoprotein 2C 	RussLampel	DRUGGABLE GENOME
SVOP 	SV2 related protein homolog (rat) 	GO	TRANSPORTER
SVOP 	SV2 related protein homolog (rat) 	RussLampel	DRUGGABLE GENOME
SVOPL 	SVOP-like 	GO	TRANSPORTER
SVOPL 	SVOP-like 	RussLampel	DRUGGABLE GENOME
SWI5 	SWI5 recombination repair homolog (yeast) 	GO	DNA REPAIR
SWSAP1 	SWIM-type zinc finger 7 associated protein 1 	GO	DNA REPAIR
SYK 	spleen tyrosine kinase 	GO, HopkinsGroom	KINASE
SYK 	spleen tyrosine kinase 	GO, dGene	TYROSINE KINASE
SYK 	spleen tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SYN1 	synapsin I 	GO	TRANSPORTER
SYNJ1 	synaptojanin 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SYNJ2 	synaptojanin 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
SYNJ2BP 	synaptojanin 2 binding protein 	GO	CELL SURFACE
SYNPR 	synaptoporin 	GO	TRANSPORTER
SYP 	synaptophysin 	GO	TRANSPORTER
SYPL1 	synaptophysin-like 1 	GO	TRANSPORTER
SYPL2 	synaptophysin-like 2 	GO	TRANSPORTER
SYT1 	synaptotagmin I 	GO	TRANSPORTER
SYT10 	synaptotagmin X 	GO	TRANSPORTER
SYT11 	synaptotagmin XI 	GO	TRANSPORTER
SYT15 	synaptotagmin XV 	GO	TRANSPORTER
SYT17 	synaptotagmin XVII 	GO	TRANSPORTER
SYT2 	synaptotagmin II 	GO	TRANSPORTER
SYT3 	synaptotagmin III 	GO	TRANSPORTER
SYT4 	synaptotagmin IV 	GO	TRANSPORTER
SYT5 	synaptotagmin V 	GO	TRANSPORTER
SYT6 	synaptotagmin VI 	GO	TRANSPORTER
SYT7 	synaptotagmin VII 	GO	TRANSPORTER
SYT8 	synaptotagmin VIII 	GO	TRANSPORTER
SYT9 	synaptotagmin IX 	GO	TRANSPORTER
SYTL1 	synaptotagmin-like 1 	GO	TRANSPORTER
SYTL2 	synaptotagmin-like 2 	GO	TRANSPORTER
SYTL4 	synaptotagmin-like 4 	GO	TRANSPORTER
TAAR1 	trace amine associated receptor 1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR1 	trace amine associated receptor 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAAR2 	trace amine associated receptor 2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR2 	trace amine associated receptor 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAAR3 	trace amine associated receptor 3 (gene/pseudogene) 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR3 	trace amine associated receptor 3 (gene/pseudogene) 	HopkinsGroom	DRUGGABLE GENOME
TAAR5 	trace amine associated receptor 5 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR5 	trace amine associated receptor 5 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAAR6 	trace amine associated receptor 6 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR6 	trace amine associated receptor 6 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAAR8 	trace amine associated receptor 8 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR8 	trace amine associated receptor 8 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAAR9 	trace amine associated receptor 9 (gene/pseudogene) 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAAR9 	trace amine associated receptor 9 (gene/pseudogene) 	HopkinsGroom	DRUGGABLE GENOME
TAB2 	TGF-beta activated kinase 1/MAP3K7 binding protein 2 	GO	KINASE
TAB2 	TGF-beta activated kinase 1/MAP3K7 binding protein 2 	HopkinsGroom	DRUGGABLE GENOME
TAB3 	TGF-beta activated kinase 1/MAP3K7 binding protein 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TACR1 	tachykinin receptor 1 	GO	CELL SURFACE
TACR1 	tachykinin receptor 1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TACR1 	tachykinin receptor 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TACR2 	tachykinin receptor 2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TACR2 	tachykinin receptor 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TACR3 	tachykinin receptor 3 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TACR3 	tachykinin receptor 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TADA1 	transcriptional adaptor 1 	GO	HISTONE MODIFICATION
TADA2A 	transcriptional adaptor 2A 	GO	HISTONE MODIFICATION
TADA3 	transcriptional adaptor 3 	GO	HISTONE MODIFICATION
TADA3 	transcriptional adaptor 3 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF1 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa 	GO	HISTONE MODIFICATION
TAF1 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa 	GO	KINASE
TAF1 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF1 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF1 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa 	GO, dGene	SERINE THREONINE KINASE
TAF10 	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa 	GO	HISTONE MODIFICATION
TAF10 	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF11 	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF11 	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF12 	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa 	GO	HISTONE MODIFICATION
TAF12 	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF12 	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF13 	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF15 	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAF1A 	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF1B 	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF1B 	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF1L 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like 	GO	HISTONE MODIFICATION
TAF1L 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like 	GO	KINASE
TAF1L 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like 	GO	TRANSCRIPTION FACTOR BINDING
TAF1L 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF1L 	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like 	GO, dGene	SERINE THREONINE KINASE
TAF2 	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa 	GO	NEUTRAL ZINC METALLOPEPTIDASE
TAF2 	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa 	GO	PROTEASE
TAF2 	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF3 	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF4 	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF4B 	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF4B 	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF5 	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa 	GO	HISTONE MODIFICATION
TAF5 	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF5L 	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa 	GO	HISTONE MODIFICATION
TAF5L 	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF6 	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF6 	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa 	GO	TUMOR SUPPRESSOR
TAF6L 	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa 	GO	HISTONE MODIFICATION
TAF7 	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa 	GO	HISTONE MODIFICATION
TAF7 	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF7 	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF7L 	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF8 	TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF9 	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa 	GO	HISTONE MODIFICATION
TAF9 	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa 	GO	KINASE
TAF9 	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa 	GO	TRANSCRIPTION FACTOR BINDING
TAF9 	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAF9B 	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa 	GO	TRANSCRIPTION FACTOR COMPLEX
TAL1 	T-cell acute lymphocytic leukemia 1 	GO	TRANSCRIPTION FACTOR BINDING
TAL1 	T-cell acute lymphocytic leukemia 1 	GO	TRANSCRIPTION FACTOR COMPLEX
TAL1 	T-cell acute lymphocytic leukemia 1 	GO	TUMOR SUPPRESSOR
TAOK1 	TAO kinase 1 	GO	DNA REPAIR
TAOK1 	TAO kinase 1 	GO	TUMOR SUPPRESSOR
TAOK1 	TAO kinase 1 	GO, HopkinsGroom	KINASE
TAOK1 	TAO kinase 1 	GO, dGene	SERINE THREONINE KINASE
TAOK1 	TAO kinase 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAOK2 	TAO kinase 2 	GO	TUMOR SUPPRESSOR
TAOK2 	TAO kinase 2 	GO, HopkinsGroom	KINASE
TAOK2 	TAO kinase 2 	GO, dGene	SERINE THREONINE KINASE
TAOK2 	TAO kinase 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAOK3 	TAO kinase 3 	GO	DNA REPAIR
TAOK3 	TAO kinase 3 	GO	TUMOR SUPPRESSOR
TAOK3 	TAO kinase 3 	GO, HopkinsGroom	KINASE
TAOK3 	TAO kinase 3 	GO, dGene	SERINE THREONINE KINASE
TAOK3 	TAO kinase 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAP1 	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) 	GO	TRANSPORTER
TAP1 	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) 	GO, HopkinsGroom	ABC TRANSPORTER
TAP1 	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAP2 	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) 	GO	TRANSPORTER
TAP2 	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) 	GO, HopkinsGroom	ABC TRANSPORTER
TAP2 	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAPBP 	TAP binding protein (tapasin) 	GO	ABC TRANSPORTER
TAPBP 	TAP binding protein (tapasin) 	GO	TRANSPORTER
TAPT1 	transmembrane anterior posterior transformation 1 	GO	G PROTEIN COUPLED RECEPTOR
TAS1R1 	taste receptor, type 1, member 1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAS1R1 	taste receptor, type 1, member 1 	HopkinsGroom	DRUGGABLE GENOME
TAS1R2 	taste receptor, type 1, member 2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAS1R2 	taste receptor, type 1, member 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAS1R3 	taste receptor, type 1, member 3 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
TAS1R3 	taste receptor, type 1, member 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
TAS2R1 	taste receptor, type 2, member 1 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R10 	taste receptor, type 2, member 10 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R13 	taste receptor, type 2, member 13 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R14 	taste receptor, type 2, member 14 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R16 	taste receptor, type 2, member 16 	GO	CELL SURFACE
TAS2R16 	taste receptor, type 2, member 16 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
TAS2R16 	taste receptor, type 2, member 16 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R19 	taste receptor, type 2, member 19 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R20 	taste receptor, type 2, member 20 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R3 	taste receptor, type 2, member 3 	GO, dGene	G PROTEIN COUPLED RECEPTOR
TAS2R30 	taste receptor, type 2, member 30 	GO, dGene	G PROTEIN COUPLED RECEPTOR
